id,title,image,description,language,categories,website,author,itunes_id
563,Africa: Stories in the 55,http://is4.mzstatic.com/image/thumb/Music127/v4/c7/1c/6b/c71c6b2f-7dfe-57f2-e1e1-acdf404a016f/source/600x600bb.jpg,"A monthly program on African authors, book publishing and news throughout the 55 countries on the continent, hosted by RFI's Laura Angela Bagnetto.
",English,News & Politics,http://en.rfi.fr/features/info/africa-stories-55,RFI,1241942188
564,Digital Insights,http://is4.mzstatic.com/image/thumb/Music71/v4/2d/43/70/2d437060-04d7-cbf6-cf4f-daa6b24c2d6e/source/600x600bb.jpg,Need some inspiration for your digital strategy but don't have time for reading endless posts? Struggling to keep up with the latest innovations in digital? These short digital insights from digital consultant Paul Boag will keep you up-to-date. Normally only a few minutes long they are ideal listening when on the move.,English,Technology | Business | Management & Marketing,http://boagworld.com,Paul Boag,997054983
565,Stoopid Nerd,http://is1.mzstatic.com/image/thumb/Music128/v4/c4/aa/2e/c4aa2e34-1c55-487c-beb7-cf51fd31211c/source/600x600bb.jpg,"I'm Jesse Chase Birch and I am the Stoopid Nerd! This is my one mic show where I talk about me, myself, and I. I also talk about video games, TV shows, movies, books, and more pop media things like that. I also discuss, at a genius level, current events, including news from around the universe. Also, I don't take this too seriously. Enjoy!",English,Comedy,https://stoopidnerd.com,Jesse Chase Birch,1320630122
566,View From A Hillside,http://is1.mzstatic.com/image/thumb/Music4/v4/09/de/36/09de3637-c5d9-629e-8615-967e93f67f97/source/600x600bb.jpg,Weekly podcasts exploring the life of a Christ-follower in the context of community...,English,Religion & Spirituality | Christianity,http://hillside4.podbean.com,Hillside Foursquare Church,384783753
567,NutraIngredients Podcast,http://is5.mzstatic.com/image/thumb/Music118/v4/10/d6/75/10d6759e-2601-cbf6-e7b8-f1db5df188fb/source/600x600bb.jpg,Breaking News on Supplements &amp; Nutrition - Europe,English,Business News | Business,https://www.nutraingredients.com,William Reed Business Media,1270629165
568,City Church Baltimore,http://is2.mzstatic.com/image/thumb/Music62/v4/0f/7e/76/0f7e7635-94d9-4096-dd5f-5838f0c7f535/source/600x600bb.jpg,This is the where you can get the weekly sermons from City Church in Baltimore. We are located in Roland Park and have weekly services at the 3 Arts Club located at 4 Wyndhurst Ave Come join us on Sunday mornings.,English,Religion & Spirituality | Christianity,http://www.citychurchbaltimore.org,Rev. Patrick Donohue,735818122
569,Newlife Sermons,http://is2.mzstatic.com/image/thumb/Music62/v4/fc/09/bf/fc09bf3b-3cd9-0a85-c998-cac9df838653/source/600x600bb.jpg,Camp Hill United Methodist Church,English,Religion & Spirituality | Christianity,http://www.camphillumc.org,Brad Gardner,1047048710
570,PortlandCA,http://is5.mzstatic.com/image/thumb/Music71/v4/02/ae/43/02ae4347-6b48-062e-8e05-3835f3445864/source/600x600bb.jpg,"PortlandCA is the only OC podcast that is also and OC commentary. Join Josh, Cory and Josh as we watch the soaring highs and lowing lows of The OC. Sandy Cohen approved",English,TV & Film | Arts | Comedy,http://www.portlandca.com/,PortlandCA,1080244451
571,MasterYourMix Podcast,http://is5.mzstatic.com/image/thumb/Music127/v4/99/60/7b/99607b01-c366-20e4-48a6-e79eb8375d21/source/600x600bb.jpg,"Through interviews and Q&A episodes, Mike Indovina shares recording tips and techniques to help engineers, artists, and producers improve the quality of their recordings and mixes (even from a home studio). Have your questions answered by emailing questions@masteryourmix.com. Learn more by visiting www.masteryourmix.com",English,Music,http://masteryourmix.com,MasterYourMix Podcast,1240842781
572,Topics & Takes,http://is2.mzstatic.com/image/thumb/Music127/v4/de/33/32/de33320c-d7b6-6d42-c8ff-a8c2dbdae92f/source/600x600bb.jpg,"Lauren Brownlow and Marilyn Payne team up to discuss the latest headlines, topics and hot takes in their new podcast covering all things sports and beyond.",English,Sports & Recreation,http://www.wral.com/Radio/,wral,1239566137
573,The Cosmosphere Podcast,http://is2.mzstatic.com/image/thumb/Music128/v4/a8/12/a5/a812a526-4779-e242-c5ee-5829c34e563f/source/600x600bb.jpg,"Since its humble beginnings in 1962, visitors from across the globe have come to Hutchinson to discover the inspiration that can only be found at the Cosmosphere.  Now, take a digital journey into history and science with The Cosmosphere Podcast.",English,History | Society & Culture | Education | Natural Sciences | Science & Medicine,https://cosmosphere.fireside.fm/,The Cosmosphere & John Mulnix,1292485164
574,Stark Naked Radio,http://is5.mzstatic.com/image/thumb/Music62/v4/1d/48/57/1d4857c1-d10d-ea3e-aaf1-67741be9f712/source/600x600bb.jpg,"Exploring health, fat loss, and performance enhancement with Brad Davidson and Todd Vande Hei from Stark Training in Orange County, California.  Look good....Stark Naked!",English,Fitness & Nutrition | Health,http://www.blogtalkradio.com/starkradio,Stark Naked Radio,582855967
575,Sermons @ The Harvest,http://is3.mzstatic.com/image/thumb/Music2/v4/8c/75/f3/8c75f3c7-a4a8-6098-b6b2-d92115396b20/source/600x600bb.jpg,"A collection of sermons from The Harvest Church of Sarasota, Florida.",English,Religion & Spirituality | Christianity,http://www.sermonconnect.com/view.php?church=122176,Pastor Dan Minor,516661930
576,Fathom Realty Podcast,http://is5.mzstatic.com/image/thumb/Music128/v4/ae/d3/9c/aed39ce0-4767-cd7f-0c93-fdb580d6f683/source/600x600bb.jpg,Learn how to grow your real estate business and better serve your clients.,English,Business,https://fathomrealty.podbean.com,Fathom Realty,1328146634
577,Dead Seeds; a ministry of Mission12|24,http://is1.mzstatic.com/image/thumb/Music71/v4/b5/e4/fd/b5e4fd57-5fd1-26e4-dbec-6d2a6ca868f9/source/600x600bb.jpg,Dead Seeds; a ministry of Mission12|24,English,Christianity | Religion & Spirituality,www.Mission1224.org,David Wiley,424547154
578,Youth and Loud,http://is3.mzstatic.com/image/thumb/Music111/v4/13/5d/d3/135dd353-25f7-a05f-62f6-cbf99307fee6/source/600x600bb.jpg,"Youth and Loud is a podcast that gives young people the opportunity to have a voice on radio. We do this by giving them a chance to share a significant story from their lives (such as something they've overcome). We also discuss some of the most prevalent issues which are relevant to youth such as: Mental Health, Challenges at School, Self-Acceptance and Self-Worth, and Overcoming Drug Addiction.",English,Kids & Family | Amateur | Sports & Recreation | Self-Help | Society & Culture | Health,,Youth and Loud,1215979859
579,The Dr. Kam Yuen Podcast,http://is1.mzstatic.com/image/thumb/Music122/v4/86/8f/d7/868fd731-d646-9204-f5cd-454351cbf467/source/600x600bb.jpg,"Podcast by Dr. Kam Yuen, DC",English,Health,https://yuenmethod.com/about,"Dr. Kam Yuen, DC",1189803118
580,Making Life Work,http://is4.mzstatic.com/image/thumb/Music127/v4/03/4c/39/034c39a3-bb26-ca97-c06a-cc70dc0373f4/source/600x600bb.jpg,The Jenn's are two women with with different approaches to life. Hear them talk about the strategies that they use to make life work.,English,Self-Help | Society & Culture | Health,http://www.workwonderscoaching.com/podcast,Jenn O'Neil,1232756159
581,The Girls Room Podcast,http://is1.mzstatic.com/image/thumb/Music128/v4/92/db/06/92db066c-ea58-8059-8012-c1685dd9d1eb/source/600x600bb.jpg,"The Girls Room Podcast highlights the opinions of eight multifaceted ladies with a focus in pop-culture, self-care, professional development, relationships, the occasional trolling and more!",English,Comedy,http://www.spreaker.com/show/the-girls-room-podcast_1,The Girls Room Podcast,1281225880
582,My Fantasy Wife,http://is3.mzstatic.com/image/thumb/Music3/v4/56/9c/30/569c3013-c41a-24c1-3e16-be2b706c91f2/source/600x600bb.jpg,"My Fantasy Wife is the popular weekly sports-meets-comedy-meets-marriage podcast in which a wife (comedian, Blaire Postman) and husband (sports stat and Fantasy League fanatic, Gary Haymes) have a mostly light-hearted discussion about sports & fantasy leagues, as well as their impact on pop culture and relationships (including their own marriage).  With the help in-studio of their Hot Topics & Social Media Maven (Maddy Sprenger) and Sound Engineer/Comedian/Sports Fan (Louis Bishop) they cover everything from Blaire drafting her first-ever fantasy league, to the social implications of the marching band; from recurring segments such as ""Enlightened Genius or Insufferable Ass?""  to ""Learn About a Lady Athlete""  and ""Gary's Minor Brushes with Greatness"".  The fun starts each week with sports but can finish just about anywhere, and usually does (Dungeons and Dragons, anyone?).",English,Professional | Society & Culture | Comedy | Sports & Recreation,http://normal.libsyn.com/,Blaire Postman,962572377
583,Uncanny Universe,http://is2.mzstatic.com/image/thumb/Music62/v4/55/2f/f2/552ff2df-fd50-2339-89e7-a5f0ad84fdde/source/600x600bb.jpg,"Bedrock City Presents : Uncanny Universe! A podcast hosed by three employees of a chain of comic book stores in Houston, TX.",English,Society & Culture,http://UncannyUniverse.podbean.com,Bedrock City Presents,1100497821
584,Catalogs and NOISE,http://is1.mzstatic.com/image/thumb/Music69/v4/4e/a8/01/4ea80104-5050-7de2-94db-ed27d266e30d/source/600x600bb.jpg,"CATALOGS AND NOISE is a discussion podcast that explores the catalogs of particular film-makers, writers, musicians, artists...what have you. Enjoy.",English,Arts | Performing Arts,http://catalogsandnoise.squarespace.com/,Joseph Geddes,1072569607
585,MVC Church,http://is3.mzstatic.com/image/thumb/Music71/v4/de/f9/8f/def98fe8-63d9-0642-930a-7c01dc4272ad/source/600x600bb.jpg,"Weekly sermons from Mountain View Community Church in Fort Collins, CO.  Mountain View is a gospel centered church that wants to proclaim the powerful, saving work of Jesus Christ.  We exist to make Christ known as we passionately love Him together.  ",English,Religion & Spirituality | Christianity,http://soundcloud.com/mvcchurch,Mountain View Community Church,940695930
586,Out of Office,http://is3.mzstatic.com/image/thumb/Music128/v4/68/4f/71/684f7143-b996-2dd9-b049-264a6babdd84/source/600x600bb.jpg,"The Out of Office podcast brings together kick ass digital nomads, remote workers, and location-independent entrepreneurs building real online businesses that allow them to custom design their lives to work whenever and wherever they want... away from the fluorescent lights and stuffy cubicles of the corporate world.",English,Self-Help | Health | Management & Marketing | Business,http://www.annaoutofoffice.com/podcast,Anna Grymes,1330003478
587,Waffle Town,http://is4.mzstatic.com/image/thumb/Music62/v4/c1/77/1b/c1771b31-a406-206a-a3ce-ec2ca0cba6ad/source/600x600bb.jpg,Podcast by Waffle Town,English,Comedy,http://www.twitch.tv/wolfdm1,Waffle Town,1050482535
588,Punch Like a Girl,http://is4.mzstatic.com/image/thumb/Music118/v4/2e/2e/9c/2e2e9c69-2180-2082-f412-537eaea26977/source/600x600bb.jpg,"A life long geek and a school librarian bring their respective expertise to the mission of examining graphic novels and trade collections with female protagonists. Superheroes, teenage drama, space opera, all is on the table and up for discussion. Because kicking butt knows no gender restriction. Fire and Water Podcast Network presents a Council of Geeks Production.",English,Visual Arts | Society & Culture | Arts,http://fireandwaterpodcast.com/show/punchlikeagirl/,Council of Geeks,1161149489
589,Sticky Notes: The Classical Music Podcast,http://is1.mzstatic.com/image/thumb/Music82/v4/e2/d6/76/e2d67660-155c-0b78-81c3-9cbc9de6450a/source/600x600bb.jpg,"Sticky Notes is a classical music podcast for everyone, whether you are just getting interested in classical music for the first time, or if you've been listening to it and loving it all your life.  Interviews with great artists, in depth looks at pieces in the repertoire, and both basic and deep dives into every era of music.  Classical music is absolutely for everyone, so let's start listening!",English,Personal Journals | Arts | Music | Performing Arts | Society & Culture,http://stickynotespodcast.libsyn.com/,Joshua Weilerstein,1215386938
590,First Assembly NLR Video Podcast,http://is5.mzstatic.com/image/thumb/Music/v4/f1/7b/00/f17b005e-5869-7de3-a4c2-56444bf634b7/source/600x600bb.jpg,Sunday messages from Rod Loy,English,Christianity | Religion & Spirituality,http://www.firstnlrvideo.com,Chris Lesher,275925362
591,Workforce Central,http://is1.mzstatic.com/image/thumb/Music71/v4/6f/67/31/6f67312d-facd-88f7-1127-b3d736ce67e3/source/600x600bb.jpg,"Join NAWB President/CEO, Ron Painter as he interviews public and private sector leaders in workforce development, education, business and economic development on key workforce issues and investment strategies to help America compete globally.",English,National | Government & Organizations | Training | Business | Education,http://workforcecentral.libsyn.com/podcast,National Assocation of Workforce Boards,1020508667
592,New Creation Christian Center,http://is1.mzstatic.com/image/thumb/Music4/v4/ad/35/23/ad3523a1-3f0b-a3ff-53dc-85ad297c4e5e/source/600x600bb.jpg,"New Creation Christian Center is a Biblical based church in the Rainer Valley area of Seattle, WA. We teach the fundamentals truths of Scripture, Love and Unity in the Body of Christ. The Church is lead by it's senior pastors Harold and Annisfay Franklin Jr., and its Assistant pastors Marquis and Precious Franklin. Enjoy listening to this podcast and feel free to contact us with questions, comments and prayer requests. 425-686-8197 marquis@newcreationwa.org",English,Religion & Spirituality | Christianity | Education | Training,http://newcreationcc.blogspot.com/,New Creation Christian Center,315968126
593,Dudes of Disruption,http://is3.mzstatic.com/image/thumb/Music71/v4/91/e8/78/91e8788f-749c-9dcc-8fa8-b6135f77c6d6/source/600x600bb.jpg,"Dudes of Disruption are committed to disrupting the automatic ways in which we operate inside of our personal and professional lives so we awaken to make powerful choices that better serve us, transform our organizations and lead to becoming unrecognizable in the world.",English,Self-Help | Health,http://dudesofdisruption.podomatic.com,Dudes Of Disruption,1008773311
594,Susan Taylor Podcast,http://is1.mzstatic.com/image/thumb/Music128/v4/3d/0e/6e/3d0e6e40-e536-8f8d-f45a-5dc411f6fa0f/source/600x600bb.jpg,"Susan Taylor is a visionary and thought leader in teaching simple, lasting solutions with intention to make life more positive and vital.   She is the author of Feeling Good Matters, Sexual Radiance, and Vital Energy.  Susan explores a broad range of topics to create a vehicle for positive change in your life, and the life of others.  Topics include: diet, nutrition, brain, meditation, yoga, holistic lifestyle, and the power of the mind to heal.",English,Alternative Health | Self-Help | Health,https://susantaylor.org/podcast/,"Susan Taylor, PhD",1308095322
595,Parenting vs. Podcast,http://is4.mzstatic.com/image/thumb/Music117/v4/d2/17/f4/d217f4d0-ba43-f896-0901-5effd7a8b764/source/600x600bb.jpg,"Podcasting is hard, its especially hard with kids around. We parent, discuss life, social media and the world around us, all while trying to keep our 3 kids busy, which never happens.

",English,Religion & Spirituality | Personal Journals | Society & Culture | Christianity,http://parentingvspodcast.blogspot.com/,"Lindsey Dominguez, Lorenzo Dominguez",1244499193
596,Bad Patient,http://is3.mzstatic.com/image/thumb/Music128/v4/5c/30/c2/5c30c2e0-9af3-08b6-1bb5-78fd29477ae5/source/600x600bb.jpg,Malpractice makes perfect! Two non-medical non-experts dive into today's health news. Connect with us via Twitter @thebadpatient or by emailing story ideas and health questions to hello@thebadpatient.com.,English,Science & Medicine | Medicine | Health | Fitness & Nutrition,http://thebadpatient.com,Bad Patient,1292451130
597,St. Pauls Resource Center Podcast,http://is4.mzstatic.com/image/thumb/Music6/v4/00/83/44/008344f6-7d9f-2031-39c1-107020839411/source/600x600bb.jpg,Listen to Sermons,English,Christianity | Religion & Spirituality,http://www.stpchurch.org,,481019184
598,Dodger Talk,http://is1.mzstatic.com/image/thumb/Music117/v4/27/fd/3f/27fd3fbd-9866-872a-f5d6-babe2ddcf053/source/600x600bb.jpg,"Dodger Talk with Ned Colletti, Jerry Hairston Jr, Nomar Garciaparra, and David Vassegh",English,Sports & Recreation,http://www.spreaker.com/show/dodger-talk,AM 570 LA Sports (KLAC-AM),1251291132
599,FuegoCast,http://is4.mzstatic.com/image/thumb/Music62/v4/02/93/0c/02930cc3-2bc8-0b8e-34dc-0d85089863c6/source/600x600bb.jpg,Chicago Fire supporter driven podcast. The longest running one at that. Take a listen!,English,Professional | Sports & Recreation,http://fuegodemivida.libsyn.com/podcast,Gregg Mixdorf,1059185272
600,Seeds of Truth Radio Podcasts,http://is1.mzstatic.com/image/thumb/Music4/v4/5a/76/1a/5a761a0a-3228-7b64-ff99-70bde30aa2e3/source/600x600bb.jpg,Seeds of Truth Ministries Radio with Joseph Hollcraft,English,Christianity | Religion & Spirituality | Spirituality,http://www.joehollcraft.org/,Joseph Hollcraft,825048177
601,Community Christian,http://is1.mzstatic.com/image/thumb/Music128/v4/90/c4/52/90c4526e-d142-7053-5654-92d2ac53ade5/source/600x600bb.jpg,Recent sermons from Community Christian in the Bay Area.,English,Christianity | Religion & Spirituality,https://community-christian.us,Community Christian,1214668896
602,PTOUnlimited Podcast,http://is3.mzstatic.com/image/thumb/Music122/v4/b4/80/60/b4806067-1803-6f6e-00fd-6e4ec7c70192/source/600x600bb.jpg,"Brett, Josh, and Alyx sit down and talk about unlimited subjects. Three nerdy friends chat about television, video games, movies, the 90's, millennial slang, trivia and much more! Follow our podcast weekly every Wednesday and see how we can argue, reminisce, and chat about interesting topics.",English,Comedy,http://soundcloud.com/ptounlimited-podcast,PTOUnlimited Podcast,1107790211
603,The Happy Hour with Jamie Ivey,http://is2.mzstatic.com/image/thumb/Music118/v4/2f/77/cb/2f77cbd7-9fab-ddbf-ddf0-ce498fe4f5c7/source/600x600bb.jpg,"The Happy Hour Podcast is hosted by Jamie Ivey, and each week she brings a guest to the show. During the happy hour they will discuss anything and everything just as if you were around the table with your own girlfriends. Jamie loves to connect with women and encourage them as they journey through life. These conversations will make you laugh and cry all in one. The Happy Hour will be something you look forward to each week.  You will be encouraged as you listen to other women talk about the simplest things in life to the grandest. Grab a cup of coffee and enjoy the conversation!",English,Religion & Spirituality | Society & Culture | Kids & Family | Christianity,http://jamieivey.com,Jamie Ivey,880741976
604,Pastor Katie Ricke's Sermons,http://is1.mzstatic.com/image/thumb/Music71/v4/a6/5c/79/a65c79a9-1868-c373-39f2-ce1126582597/source/600x600bb.jpg,Find here a collection of sermons preached by United Methodist pastor Katie Ricke.,English,Religion & Spirituality | Christianity,http://pastorkricke.podomatic.com,Katie Ricke,1154217955
605,Namekian Public Radio: A Dragon Ball Podcast,http://is3.mzstatic.com/image/thumb/Music118/v4/c0/5b/d5/c05bd592-2d7e-a8c4-f810-d3380ed29c48/source/600x600bb.jpg,"Robert and Seth cover the Dragon Ball Super Anime/ Manga while giving incite and entertainment! As well as news, updates, rumor smashing, referencing, reviews and so much more! Join us on our adventure through he Dragon Ball world!",English,TV & Film | Games & Hobbies | Educational Technology | Automotive | Comedy | Education,http://www.namekianpublicradio.com/,Robert & Seth,1330857932
606,Smart Investing,http://is1.mzstatic.com/image/thumb/Music122/v4/ea/ba/3a/eaba3ab0-99b2-a475-775d-02d53cb3002c/source/600x600bb.jpg,"Smart Investing with Mike Wren took its 12 years from the radio cycle and now makes its way to a simple podcast for you to listen in anytime you want. We take the topic of investing and make it easier for you to understand, while making the show fun to listen to. Join Mike and Chris every week for this simple, educational podcast.",English,Business News | Business,http://www.spreaker.com/show/smart-investing,Smart Investing With Mike Wren,1207505611
607,Salty Tuesday,http://is2.mzstatic.com/image/thumb/Music117/v4/ec/40/51/ec405197-9c02-1e7a-ae0b-fcbbec81f810/source/600x600bb.jpg,"Salty Tuesday Podcast is a group of friends discussing, complaining, throwing observations, and arguing over a random assortment of topics ranging from sports, politics, movies, TV shows, video games, and just about anything that pops in our heads during our hellish work weeks. The show will air on Tuesdays, and we're getting Salty about all subjects...you get it?",English,Comedy,https://www.facebook.com/SaltyTuesdayProductions/?ref=aymt_homepage_panel,Salty Tuesday,1246625045
608,Podcast NFL-Spain,http://is5.mzstatic.com/image/thumb/Music71/v4/72/f5/d8/72f5d869-261c-e50d-dd75-a297c73b353f/source/600x600bb.jpg,"Analizamos,toda la actualidad e la NFL en un ambiente amistoso y en clave de humor.",Spanish,Comedy | Sports & Recreation | Amateur,http://www.ivoox.com/podcast-podcast-nfl-spain_sq_f149921_1.html,NFL-Spain,573192002
609,The CoCo Crew Podcast,http://is4.mzstatic.com/image/thumb/Music62/v4/fc/a1/ca/fca1ca96-6d3f-30fc-9d7b-cd92f95985fd/source/600x600bb.jpg,"A delicious adventure into the world of retrocomputing news and information, featuring the Tandy Color Computer! ",English,Video Games | Games & Hobbies,http://cococrew.org,"N. Blanchard, M. Rowen, J. Linville",1000018744
610,Eves Corner with Prophetess Amina,http://is5.mzstatic.com/image/thumb/Music71/v4/07/d9/4a/07d94a15-6caf-5512-c678-598bbbd60f86/source/600x600bb.jpg,"(""A Division of Campbell Ministries, Inc."")

Objective: To encourage, enlighten, engage, empower, and minister to the hearts of women.

Feature Segments:

- Women's Empowerment Book Club, Ministries on the Move, and Health Corner
- Ministries on the Move - we will feature varying Christian businesses, their owners, or supporting religious organizations
- Health Corner; health and/or cooking tips
- Prayer, scripture and words of encouragement",English,Religion & Spirituality | Christianity,https://bbsradio.com/customshow/18473,"BBS Radio, BBS Network Inc.",1044107295
611,Ocean Grove Property News - 3 Minute 'Real Estate News Vignettes',http://is4.mzstatic.com/image/thumb/Music71/v4/93/e7/93/93e793f1-f497-b4f6-00e5-27c05dafa57f/source/600x600bb.jpg,"Ocean Grove Property News service is made available by Hayden Real Estate in Ocean Grove.  Each episode of the Ocean Grove Property news service delivers in 3 minutes a snapshot or news vignette of what is happening in the Ocean Grove property market.  

Whether you are looking to buy or sell property in Ocean Grove or the greater Bellarine Penninsula region, make sure you subscribe to Ocean Grove Property News and get updated BEFORE each weekends action and AFTER to find out what really happened.

To learn more, go to: http://www.haydenoceangrove.com.au/",English,Business | Investing,http://oceangroveproperty.libsyn.com/podcast,,966722285
612,Deconstructing Dad Podcast,http://is1.mzstatic.com/image/thumb/Music122/v4/ed/e4/4c/ede44cf4-b0a2-fa49-5d9c-d97bd9f6b9d7/source/600x600bb.jpg,"Two divorced dad's discussing fatherhood, while comically attempting to manage all of life's successes and failures. We're not professionally trained, we're just like you!",English,Kids & Family | Personal Journals | Society & Culture | Comedy,http://deconstructingdad.libsyn.com/website,Monkey Poo Studios,1230218564
613,Xbox Uncut - Xbox Uncut,http://is3.mzstatic.com/image/thumb/Music111/v4/73/c8/9f/73c89f6c-338e-7c05-89d2-177c8e7d4472/source/600x600bb.jpg,A roundtable of mature members of the gaming community discussing Microsoft gaming.,English,Video Games | Games & Hobbies,http://www.xboxuncut.com/xvox/,Jason Sipes,677030679
614,DakCast,http://is4.mzstatic.com/image/thumb/Music128/v4/74/04/96/74049682-a4c3-8f67-4d19-3892db380190/source/600x600bb.jpg,"Hey, What's Up Universe? My name is DAK. I am normally found on my YouTube channel, DAK Universe, but this is where I get to tell you about sports more in-depth! In these podcasts, I talk NFL, WWE, and sometimes even NBA. Enjoy!",English,Sports & Recreation,http://dakcast.tk/,DAK,1319342123
615,Generasian Radio,http://is5.mzstatic.com/image/thumb/Music69/v4/9d/24/a2/9d24a236-25e2-bc8c-4215-a8ccc4398cd8/source/600x600bb.jpg,A weekly podcast of the most incredible fusion of world music and beats. Exploring the underground genres of modern dance music with the ancient sounds of the world. This is music you will not hear anywhere else!,English,Music,http://generasianradio.podomatic.com,Generasian Radio,1024818506
616,Ryan & Dave Podcast,http://is4.mzstatic.com/image/thumb/Music128/v4/22/b0/49/22b049d6-a2c0-3882-8d50-acda159b9d27/source/600x600bb.jpg,"A podcast full of comedy, sports, politics with both everything and nothing in-between.",English,Comedy,http://soundcloud.com/ryandavepodcast,"Ryan Mitchell, David Callaghan",1326270005
617,DrNetasPuntoCom,http://is5.mzstatic.com/image/thumb/Music71/v4/80/e1/11/80e111d2-6098-8f43-8544-8b11e58d2c35/source/600x600bb.jpg,Momento 1: Cuando descubres que hay miles de cosas que te pueden poner triste... pero millones que te hacen feliz,Spanish,Health | Self-Help | Society & Culture | Personal Journals | Kids & Family,https://drnetas.com,Pacasso,926569692
618,Dave Navarro's Dark Matter Radio,http://is5.mzstatic.com/image/thumb/Music122/v4/25/9f/8d/259f8dfa-175c-2af8-2f9b-5c7a50a8feef/source/600x600bb.jpg,Catch Dark Matter Radio LIVE on DashRadio.com on the ALT station Wednesdays 9-11pm PST. Download the app or just use their browser. The call in number is: (310)-986-6610,English,Comedy,http://soundcloud.com/davenavarro,Dave Navarro's Dark Matter Radio,1204080930
619,One Way Ticket,http://is5.mzstatic.com/image/thumb/Music118/v4/1e/03/6e/1e036eb5-3f3e-7b31-894e-68fabc8c40fb/source/600x600bb.jpg,En podcast om att flytta och bo utomlands.,Swedish,Podcasting | Society & Culture | Technology,http://instagram.com/onewayticket.podcast,Frida Regeheim & Linn Wiberg,1259541555
620,Pastor Jon Tripp,http://is2.mzstatic.com/image/thumb/Music71/v4/df/0b/7c/df0b7c2c-0c3a-678e-d504-d1dc48f9d6bc/source/600x600bb.jpg,"Helping people know God more fully, love Him more deeply, and serve Him more faithfully.",English,Religion & Spirituality | Christianity,http://godsgracebible.org,Pastor Jon Tripp,1166999525
621,SermonAudio.com: MP3,http://is2.mzstatic.com/image/thumb/Music111/v4/af/4d/8e/af4d8ea9-4f93-dcc7-139b-a34bbb022c09/source/600x600bb.jpg,The latest MP3 feed from SermonAudio.com.,English,Religion & Spirituality | Christianity,http://www.sermonaudio.com/,info@sermonaudio.com,1189959502
622,Beats and Speaks Podcast,http://is4.mzstatic.com/image/thumb/Music118/v4/5e/2c/e7/5e2ce79d-c1cc-7d68-6f50-47144f0cfb0d/source/600x600bb.jpg,"The Beats and Speaks Podcast is a show created, hosted, and produced by Leigh Dickey, a man with extensive experience in entertainment, radio, television, performance, and all things media. This show aims to deliver stories and tales from his time in all these industries, plus some tidbits from his personal life.",English,Comedy,http://www.spreaker.com/show/beats-and-speaks-podcasts-show,Leigh Dickey,1268103881
623,Roots and Shoots,http://is5.mzstatic.com/image/thumb/Music/v4/7a/5f/05/7a5f0588-4580-6b9d-5028-79f4e10c0925/source/600x600bb.jpg,Your weekly dose of gardening solutions,English,Hobbies | Games & Hobbies,http://www.abc.net.au/radio/perth/programs/rootsandshoots/,ABC Radio,370519883
624,Story Untold,http://is5.mzstatic.com/image/thumb/Music122/v4/7f/b4/7f/7fb47fe1-53c2-e5e9-9d27-e6b616de6913/source/600x600bb.jpg,Everyone's got a story to tell. Join host Martin Bauman as he finds the ones worth telling.,English,Society & Culture | Philosophy | Arts | Personal Journals,http://storyuntold.blubrry.com,Story Untold,1226851327
625,The Librocube,http://is4.mzstatic.com/image/thumb/Music117/v4/5a/b9/61/5ab961ff-44d4-323c-69ec-51c1d35e8263/source/600x600bb.jpg,"Hello! Welcome to The Librocube. Join Jordan Maywood The Lackadaisical Librocubicularist as he pours his brain into the internet. Segmented Thusly: Movie Monologue, Television Talk, Book Banter, Game Gabbin', Internet Intercourse.",English,Society & Culture | Personal Journals,https://maywood.podbean.com,Jordan Maywood,570741987
626,LCOR Evansville,http://is4.mzstatic.com/image/thumb/Music62/v4/c2/ea/a2/c2eaa203-233e-ddac-77f8-f0f072e6da4d/source/600x600bb.jpg,"Lutheran Church of Our Redeemer of Evansville, Indiana recorded church sermons.",English,Religion & Spirituality | Christianity,http://redeemerchurch.org/wordpress,LCOR Evansville,1003309128
627,Stress-Less Podcast,http://is3.mzstatic.com/image/thumb/Music118/v4/b5/30/f2/b530f264-8059-3701-beb0-3abd57c99726/source/600x600bb.jpg,A view on building the internal elements of health and developing your surroundings to fit your values. The journey to create your version of the Stress-Less Way of Life.,English,Health,http://www.thestress-lesslife.com,Stress-Less Fitness Collective,1319521765
628,BARTES / THIS IS MY HOUSE,http://is1.mzstatic.com/image/thumb/Music111/v4/ea/54/64/ea54642e-0afc-ed14-19fd-60c8fd3c7b50/source/600x600bb.jpg,"This Is My House is a weekly, highly selected brand new deep house, house and nu disco music

www.djbartes.pl
www.facebook.com/djbartes",Polish,Music,http://soundcloud.com/djbartes,BARTES,1225927779
629,Sur la route du Junior,http://is5.mzstatic.com/image/thumb/Music128/v4/82/1e/ba/821ebad7-864c-f5e2-adc5-7cc53dd3e948/source/600x600bb.jpg,Un podcast hebdomadaire sur le monde du hockey Junior de la Ligue Canadienne de Hockey avec John et Marky!!!,French,Sports & Recreation,http://soundcloud.com/user-739988838,John et Marky,1313044531
630,Maximizing Your Mental Potential,http://is2.mzstatic.com/image/thumb/Music118/v4/ca/5f/d9/ca5fd943-91cf-d8cd-32a1-1c98b1d2b4c2/source/600x600bb.jpg,Dr. Nina is a Mental Performance Coach for Athletes. She is passionate about helping athletes with their mental game to achieve optimal performance. She offers basic tips to help an athlete improve their mental game and get them ready for thier next competition or sporting event.,English,Sports & Recreation,http://drninacoach.com,"Nina Rios-Doria, PhD, LPC",1262760443
